Dataset,Model,enrichment,ndcg,precision,rank_first_hit,recall,enrichment@2,enrichment@3,enrichment@4,enrichment@5,enrichment@6,enrichment@7,enrichment@8,enrichment@9,enrichment@10,enrichment@11,enrichment@12,enrichment@13,enrichment@14,enrichment@15,enrichment@16,enrichment@17,enrichment@18,enrichment@19,enrichment@20,enrichment@21,enrichment@22,enrichment@23,enrichment@24,enrichment@25,enrichment@26,enrichment@27,enrichment@28,enrichment@29,enrichment@30,enrichment@31,enrichment@32,enrichment@33,enrichment@34,enrichment@35,enrichment@36,enrichment@37,enrichment@38,enrichment@39,enrichment@40,enrichment@41,enrichment@42,enrichment@43,enrichment@44,enrichment@45,enrichment@46,enrichment@47,enrichment@48,enrichment@49,enrichment@50,ndcg@2,ndcg@3,ndcg@4,ndcg@5,ndcg@6,ndcg@7,ndcg@8,ndcg@9,ndcg@10,ndcg@11,ndcg@12,ndcg@13,ndcg@14,ndcg@15,ndcg@16,ndcg@17,ndcg@18,ndcg@19,ndcg@20,ndcg@21,ndcg@22,ndcg@23,ndcg@24,ndcg@25,ndcg@26,ndcg@27,ndcg@28,ndcg@29,ndcg@30,ndcg@31,ndcg@32,ndcg@33,ndcg@34,ndcg@35,ndcg@36,ndcg@37,ndcg@38,ndcg@39,ndcg@40,ndcg@41,ndcg@42,ndcg@43,ndcg@44,ndcg@45,ndcg@46,ndcg@47,ndcg@48,ndcg@49,ndcg@50,precision@2,precision@3,precision@4,precision@5,precision@6,precision@7,precision@8,precision@9,precision@10,precision@11,precision@12,precision@13,precision@14,precision@15,precision@16,precision@17,precision@18,precision@19,precision@20,precision@21,precision@22,precision@23,precision@24,precision@25,precision@26,precision@27,precision@28,precision@29,precision@30,precision@31,precision@32,precision@33,precision@34,precision@35,precision@36,precision@37,precision@38,precision@39,precision@40,precision@41,precision@42,precision@43,precision@44,precision@45,precision@46,precision@47,precision@48,precision@49,precision@50,recall@2,recall@3,recall@4,recall@5,recall@6,recall@7,recall@8,recall@9,recall@10,recall@11,recall@12,recall@13,recall@14,recall@15,recall@16,recall@17,recall@18,recall@19,recall@20,recall@21,recall@22,recall@23,recall@24,recall@25,recall@26,recall@27,recall@28,recall@29,recall@30,recall@31,recall@32,recall@33,recall@34,recall@35,recall@36,recall@37,recall@38,recall@39,recall@40,recall@41,recall@42,recall@43,recall@44,recall@45,recall@46,recall@47,recall@48,recall@49,recall@50
Train,CatBoost_Ranker,0.37768354417790506,0.5859903456948835,0.05830002566328676,1.25,2.99984335839599,7.501409774436091,5.786497493734337,5.152725563909774,4.50404135338346,4.220708020050124,3.890507518796993,3.6428571428571432,3.4005325814536342,3.2066729323308274,2.9938340168603332,2.8537489557226396,2.6663895315211104,2.5377506265664165,2.45608813700919,2.3287124060150375,2.242637844611529,2.1412733221943743,2.0505787495053425,1.9689536340852134,1.895102339181287,1.8279647983595353,1.766665304565762,1.7291144527986633,1.676672932330827,1.6282653749759013,1.583443562610229,1.5418233082706767,1.5030734162993689,1.466906850459482,1.4330736114479745,1.4013549498746867,1.3715586314270525,1.3435150375939848,1.3170739348370923,1.292101782233361,1.2684794757163178,1.2421761640944464,1.2172217402480559,1.2009711779448622,1.1766802677425268,1.1499955245255997,1.129506178236288,1.1051065162907268,1.0819688109161791,1.0596634248665142,1.0383072041806642,1.0209475511695907,1.0012531328320802,0.9853289473684211,0.5761260331766941,0.5761260331766941,0.5879857103953536,0.5879857103953537,0.5878183744216638,0.5878183744216638,0.587818374421664,0.587818374421664,0.5877443649531694,0.5876857401480587,0.5875372967231126,0.5875372967231126,0.5874221865982129,0.5872340558721515,0.5872340558721515,0.587131737087939,0.587131737087939,0.587131737087939,0.587131737087939,0.587131737087939,0.587131737087939,0.587131737087939,0.586955115780639,0.586955115780639,0.586955115780639,0.586955115780639,0.586955115780639,0.586955115780639,0.586955115780639,0.586955115780639,0.5869551157806389,0.5869551157806389,0.5869551157806389,0.5869551157806389,0.586955115780639,0.586955115780639,0.586955115780639,0.5869519270494927,0.5866880215911943,0.5866821571374219,0.5866821571374219,0.5866654156315991,0.5866654156315991,0.58665804729587,0.5866558309041098,0.586653749471112,0.586631701306498,0.5866298605724048,0.5866072746104846,0.5657894736842105,0.46491228070175433,0.4276315789473684,0.3842105263157895,0.368421052631579,0.34586466165413543,0.32894736842105265,0.31286549707602335,0.3,0.284688995215311,0.2741228070175438,0.2611336032388663,0.25187969924812026,0.24561403508771926,0.23684210526315788,0.23065015479876153,0.22368421052631574,0.21745152354570632,0.21184210526315786,0.20676691729323307,0.20215311004784692,0.19794050343249428,0.19517543859649122,0.19157894736842107,0.18825910931174086,0.1851851851851852,0.18233082706766912,0.17967332123411978,0.17719298245614032,0.17487266553480477,0.17269736842105263,0.17065390749601278,0.1687306501547987,0.1669172932330827,0.16520467836257308,0.16358463726884784,0.1613573407202216,0.1592442645074224,0.15723684210526317,0.1546854942233633,0.15162907268170425,0.14993880048959607,0.14712918660287086,0.14444444444444446,0.14187643020594964,0.13941769316909294,0.13760964912280702,0.13533834586466162,0.1336842105263158,0.8825187969924811,1.0211466165413534,1.212406015037594,1.324718045112782,1.4896616541353385,1.6019736842105265,1.7142857142857142,1.8002819548872178,1.8862781954887218,1.93718671679198,2.014411027568922,2.039003759398496,2.0899122807017547,2.167136591478697,2.1917293233082704,2.242637844611529,2.2672305764411025,2.2918233082706765,2.316416040100251,2.341008771929825,2.365601503759398,2.3901942355889725,2.4411027568922306,2.4656954887218046,2.490288220551379,2.5148809523809526,2.539473684210526,2.5640664160401,2.588659147869674,2.613251879699248,2.637844611528822,2.6624373433583957,2.6870300751879697,2.711622807017544,2.7362155388471177,2.7608082706766917,2.7766290726817044,2.792449874686717,2.8258145363408524,2.837875939849624,2.8411654135338344,2.8569862155388472,2.8602756892230574,2.864035087719298,2.8673245614035086,2.870614035087719,2.882675438596491,2.8859649122807016,2.898026315789474
Train,Baseline_MSA_Score,0.37768354417790506,0.21488323335287926,0.05830002566328676,53.666666666666664,2.99984335839599,0.05592105263157895,0.1864035087719298,0.265625,0.2236842105263158,0.31067251461988304,0.31688596491228066,0.28426535087719296,0.25889376218323584,0.23859649122807017,0.26846946912736386,0.25142282790309106,0.23638422980528245,0.22406462585034015,0.2171157059314954,0.23500156641604006,0.22446741854636593,0.2565267335004177,0.26166567735127294,0.2769423558897243,0.2694608545172455,0.26653280929596723,0.27069031273836763,0.2892583020050125,0.2802443609022556,0.28913027761711974,0.29706209969367864,0.2971043680630146,0.30127581885748855,0.29336361737677524,0.28390027488075026,0.2750283912907268,0.280250816435027,0.299968671679198,0.30577783745076975,0.3112642717905876,0.3164541421120369,0.33314371454953173,0.35061612364243944,0.3597587719298246,0.37072865089553164,0.3880870330588376,0.3803622428163432,0.3744410742766006,0.36736285157337795,0.3670759779884494,0.3967165253559431,0.3896166196741855,0.3841107871720117,0.3821804511278195,0.02631578947368421,0.05263157894736842,0.055493458457889715,0.05518718503006301,0.08330880506490687,0.08648798928823757,0.08632389044246802,0.08624155399537606,0.08620418718308055,0.10087411040163007,0.10239479209062527,0.10235521007570467,0.10343694199585453,0.1042809991281356,0.11068643273158152,0.11066776476370284,0.11744734533265666,0.11835931747411597,0.12025052210972961,0.12081052782610383,0.1212364133571488,0.12251422559255967,0.12901411551535044,0.1294161066387023,0.12955398967915374,0.1276328604522948,0.12828680462392464,0.12922917528010405,0.12952879108943205,0.12952879108943205,0.12952879108943205,0.1305081857014992,0.1310423710430416,0.13160834714859018,0.1321714536961864,0.13269501605211245,0.133738726901906,0.13475284675997157,0.13558794561338272,0.1365953726038213,0.14199978147222175,0.14199210066267792,0.1421723696110536,0.14216857761762527,0.14254108511281513,0.15307515756915036,0.1530755798218042,0.15323816353303005,0.15284073778867427,0.02631578947368421,0.03508771929824561,0.046052631578947366,0.042105263157894736,0.04824561403508772,0.05263157894736842,0.049342105263157895,0.04678362573099415,0.04473684210526316,0.04784688995215312,0.046052631578947366,0.04453441295546559,0.043233082706766915,0.043859649122807015,0.044407894736842105,0.043343653250773995,0.046783625730994156,0.048476454293628804,0.05,0.050125313283208024,0.050239234449760764,0.05148741418764302,0.05372807017543859,0.05263157894736842,0.05263157894736842,0.053606237816764137,0.05357142857142857,0.05535390199637023,0.054385964912280704,0.05263157894736842,0.05098684210526316,0.050239234449760764,0.05108359133126935,0.05112781954887218,0.05116959064327485,0.051209103840682786,0.05193905817174515,0.05330634278002699,0.05460526315789473,0.0558408215661104,0.057017543859649106,0.05630354957160343,0.0562200956937799,0.055555555555555546,0.056064073226544636,0.058790593505039186,0.05811403508771929,0.05800214822771213,0.057894736842105256,0.006578947368421052,0.03289473684210526,0.0625,0.06578947368421052,0.10964912280701752,0.13048245614035087,0.1337719298245614,0.1370614035087719,0.14035087719298245,0.1737155388471178,0.1774749373433584,0.18076441102756893,0.18452380952380953,0.19157268170426064,0.2211779448621554,0.22446741854636593,0.2716165413533835,0.2924498746867168,0.32581453634085217,0.33286340852130325,0.3449248120300752,0.36622807017543857,0.4083646616541353,0.4121240601503759,0.4421992481203008,0.47180451127819556,0.4893483709273183,0.5139411027568922,0.5177005012531328,0.5177005012531328,0.5177005012531328,0.544016290726817,0.599937343358396,0.6295426065162907,0.6591478696741855,0.6887531328320802,0.7446741854636592,0.8043546365914788,0.8464912280701754,0.894110275689223,0.9588032581453634,0.962092731829574,0.969141604010025,0.9724310776942355,0.9932644110275689,1.0968045112781954,1.100093984962406,1.107142857142857,1.12406015037594
Test,CatBoost_Ranker,0.70750952214888,0.5496527299689126,0.10157293698048339,17.07894736842105,7.998015873015873,3.051282051282051,2.361111111111111,1.9978632478632476,1.7944444444444445,1.6346153846153844,1.5567765567765566,1.4857486263736264,1.388125763125763,1.3754120879120877,1.3815212565212567,1.41385582010582,1.3937141917911147,1.368666056166056,1.3101139601139602,1.28207036019536,1.2338217338217339,1.21515059015059,1.19079750658698,1.1661553724053726,1.1300220943078085,1.1062548562548562,1.109823751128099,1.0923382173382172,1.0787423687423687,1.066192354653893,1.0545719712386379,1.054160125588697,1.0368668687634206,1.01769943019943,1.0481458505652053,1.0508241758241756,1.0582935582935584,1.0797466422466424,1.0766221873364732,1.0918337064170396,1.0905149655149655,1.1019656513077567,1.1088373876835413,1.120814255189255,1.1329030048542243,1.1651731205302636,1.166979015816225,1.1926441613941612,1.1933557183557182,1.1971950151297979,1.2188677162081418,1.2305561914936913,1.25267561236949,1.2724572649572647,0.358974358974359,0.3569159176704663,0.36760774342584807,0.38925633039347823,0.3927820915397818,0.4111666735744877,0.4324604050206239,0.445749314561277,0.4518118936570899,0.47129042437112134,0.4894615798590024,0.49527157661027604,0.49918631447461737,0.5011249538746998,0.5034963837005804,0.5056205471076215,0.5135841852864659,0.515841560728271,0.5175954861751187,0.5187766755863416,0.5203963999200419,0.5276539040065105,0.5289740484683967,0.5304360829220864,0.5318094242834153,0.5331025444816994,0.5346354812353754,0.5354158629671024,0.5361820676618242,0.5232595769946394,0.5247032403085458,0.5256737868112694,0.5230514609135614,0.5229334166524487,0.5179522271135523,0.5191137756097715,0.5204995468532649,0.5218723591145672,0.5173488272133945,0.5079434385539323,0.510813714029833,0.5047096613596281,0.5089312578329963,0.5073818942011515,0.5078460853509814,0.5001189248382137,0.5002382513675149,0.5012243181168025,0.5012627290692131,0.2692307692307692,0.21367521367521364,0.1858974358974359,0.17435897435897438,0.1623931623931624,0.1575091575091575,0.15705128205128205,0.1566951566951567,0.16153846153846152,0.16550116550116548,0.1688034188034188,0.1715976331360947,0.17216117216117216,0.16752136752136754,0.16987179487179488,0.16742081447963802,0.16666666666666669,0.1673414304993252,0.16666666666666666,0.16361416361416362,0.1631701631701632,0.1649944258639911,0.16452991452991456,0.16512820512820514,0.16568047337278108,0.16619183285849953,0.16666666666666666,0.1653404067197171,0.1641025641025641,0.1662531017369727,0.16666666666666666,0.1686091686091686,0.17043740573152338,0.17142857142857143,0.17307692307692307,0.17325017325017325,0.17408906882591094,0.1755424063116371,0.17756410256410257,0.17948717948717952,0.18192918192918192,0.18246869409660108,0.18414918414918416,0.1851851851851852,0.18617614269788182,0.18876159301691214,0.19017094017094016,0.1920460491889063,0.19487179487179487,0.358974358974359,0.4166666666666667,0.47008547008547014,0.5277777777777778,0.5769230769230769,0.6410256410256411,0.6991758241758241,0.7348901098901099,0.8090659340659341,0.893925518925519,0.9980158730158729,1.0657814407814408,1.1271367521367521,1.155982905982906,1.2066544566544566,1.2338217338217339,1.2866300366300367,1.3308913308913308,1.371947496947497,1.3959096459096458,1.4316239316239314,1.5015262515262515,1.5421245421245422,1.5863858363858363,1.6306471306471306,1.6749084249084252,1.7362637362637365,1.768772893772894,1.795940170940171,1.9113247863247864,1.9780219780219779,2.0543345543345546,2.159493284493285,2.2165750915750917,2.3121184371184373,2.3734737484737485,2.4632173382173383,2.5438034188034186,2.637210012210012,2.7322954822954824,2.878663003663004,2.951770451770452,3.0868437118437115,3.1588827838827838,3.2394688644688645,3.3698107448107444,3.4745115995115996,3.6106532356532353,3.7425213675213675
Test,Baseline_MSA_Score,0.70750952214888,0.40066396703748286,0.10157293698048339,27.263157894736842,7.998015873015873,0.0,0.03632478632478632,0.027243589743589744,0.043589743589743594,0.03632478632478632,0.2346284667713239,0.38335622710622713,0.44368131868131866,0.40476190476190477,0.38282550782550784,0.3924374236874237,0.3796139757678219,0.39141810570381996,0.44212454212454205,0.5228174603174603,0.5871489621489621,0.6023860398860398,0.6819773793458004,0.7623015873015874,0.7951915809058665,0.8502122877122875,0.8822861920688008,0.8750381562881563,0.850934065934066,0.8496407438715132,0.8588217338217337,0.8556711145996859,0.8827996715927748,0.889957264957265,0.9508891645988417,0.9503634386446888,1.015914640914641,1.0463980463980465,1.0696537589394735,1.113311457061457,1.162743787743788,1.1710646809331018,1.188738611815535,1.1835393772893774,1.1794797343577832,1.1770960520960523,1.1570832268506688,1.1398670773670772,1.1310846560846561,1.1108390401868664,1.1167387576962045,1.1223926536426536,1.1287689068301312,1.1123687423687423,0.0,0.01282051282051282,0.01282051282051282,0.013942854080821165,0.013942854080821165,0.07377191390988101,0.09178005965399051,0.1088210138831975,0.11037960331652147,0.11164416202066917,0.12816613099598148,0.13115446968547098,0.13307424929348904,0.14305068123258774,0.17212844695659046,0.18541692947868052,0.18896330207685408,0.19620397132989048,0.20229524253998857,0.20536989486431084,0.21094527439278637,0.21530493530428457,0.21657560316623248,0.2172473290227981,0.21871036802234434,0.22075522541345216,0.22262250872719072,0.23482572025954163,0.23692060139354537,0.25486100966847913,0.25646816624601265,0.2748834877587258,0.28593061153773,0.3022911828853761,0.3114682988629093,0.3172908833093303,0.3196372470702083,0.3268373104896292,0.3283314019244753,0.3297520709237038,0.3396496736638743,0.3403514415673985,0.3411816885495693,0.34638941779654175,0.3467776842842875,0.34941542188987207,0.35110066063260376,0.3530098993961136,0.3535041079642099,0.0,0.008547008547008546,0.00641025641025641,0.010256410256410256,0.008547008547008546,0.03296703296703296,0.05128205128205128,0.05413105413105413,0.05128205128205128,0.05128205128205128,0.057692307692307696,0.05917159763313611,0.05860805860805861,0.06495726495726498,0.07692307692307693,0.08446455505279034,0.0883190883190883,0.0998650472334683,0.10769230769230767,0.10989010989010986,0.11771561771561774,0.12374581939799331,0.12393162393162395,0.12102564102564105,0.12031558185404337,0.12250712250712252,0.12271062271062269,0.1246684350132626,0.1264957264957265,0.13068651778329196,0.13221153846153846,0.1375291375291375,0.13951734539969832,0.1413919413919414,0.14529914529914528,0.14760914760914765,0.14777327935222667,0.14792899408284022,0.14615384615384616,0.14446529080675427,0.14346764346764343,0.14251639833035182,0.14160839160839161,0.14074074074074072,0.13879598662207357,0.13966175668303327,0.14049145299145296,0.14128728414442704,0.13999999999999999,0.0,0.00641025641025641,0.00641025641025641,0.01282051282051282,0.01282051282051282,0.09661172161172162,0.1804029304029304,0.23489010989010986,0.23809523809523808,0.2477106227106227,0.27701465201465203,0.29029304029304026,0.32234432234432236,0.3901098901098901,0.49206349206349204,0.5871489621489621,0.6378205128205128,0.7622100122100122,0.8968253968253967,0.9822954822954821,1.1002747252747254,1.1936813186813187,1.2353479853479854,1.2513736263736264,1.2994505494505495,1.364010989010989,1.4093406593406594,1.5059523809523812,1.5705128205128205,1.733974358974359,1.7889194139194138,1.972069597069597,2.092796092796093,2.202228327228327,2.3576007326007327,2.5306776556776556,2.6176739926739927,2.727106227106227,2.784798534798535,2.8446275946275947,2.9081196581196584,2.9267399267399266,2.9502442002442004,2.9940476190476195,3.005799755799756,3.087454212454212,3.169108669108669,3.253510378510379,3.271672771672772
