Enzyme1,Enzyme2,Percent_Similarity,E2_Sub
2.0,30.0,95.81464872944694,9.0
2.0,68.0,94.02092675635276,9.0
2.0,16.0,85.35127055306427,9.0
2.0,64.0,81.31539611360239,9.0
2.0,24.0,80.11958146487295,9.0
2.0,33.0,71.30044843049326,9.0
2.0,28.0,63.82660687593423,9.0
2.0,27.0,50.672645739910315,3.0
2.0,27.0,50.672645739910315,5.0
2.0,27.0,50.672645739910315,6.0
2.0,27.0,50.672645739910315,7.0
2.0,27.0,50.672645739910315,8.0
2.0,27.0,50.672645739910315,14.0
2.0,27.0,50.672645739910315,15.0
2.0,27.0,50.672645739910315,16.0
2.0,22.0,49.62630792227205,8.0
2.0,62.0,48.4304932735426,3.0
3.0,12.0,51.569506726457405,6.0
3.0,24.0,44.24514200298953,9.0
3.0,64.0,43.34828101644245,9.0
3.0,16.0,42.45142002989537,9.0
3.0,33.0,42.45142002989537,9.0
3.0,22.0,42.45142002989537,8.0
3.0,9.0,42.15246636771301,3.0
3.0,27.0,42.15246636771301,3.0
3.0,27.0,42.15246636771301,5.0
3.0,27.0,42.15246636771301,6.0
3.0,27.0,42.15246636771301,7.0
3.0,27.0,42.15246636771301,8.0
3.0,27.0,42.15246636771301,14.0
3.0,27.0,42.15246636771301,15.0
3.0,27.0,42.15246636771301,16.0
3.0,62.0,42.00298953662182,3.0
3.0,68.0,41.85351270553064,9.0
4.0,7.0,93.7219730941704,2.0
4.0,7.0,93.7219730941704,3.0
4.0,64.0,31.2406576980568,9.0
4.0,28.0,30.94170403587444,9.0
4.0,24.0,30.94170403587444,9.0
4.0,30.0,30.64275037369208,9.0
4.0,2.0,30.64275037369208,9.0
4.0,68.0,30.493273542600896,9.0
4.0,27.0,30.34379671150972,3.0
4.0,27.0,30.34379671150972,5.0
4.0,27.0,30.34379671150972,6.0
4.0,27.0,30.34379671150972,7.0
4.0,27.0,30.34379671150972,8.0
4.0,27.0,30.34379671150972,14.0
4.0,27.0,30.34379671150972,15.0
4.0,27.0,30.34379671150972,16.0
4.0,33.0,30.34379671150972,9.0
4.0,12.0,29.74588938714499,6.0
7.0,4.0,93.7219730941704,2.0
7.0,4.0,93.7219730941704,3.0
7.0,64.0,29.297458893871447,9.0
7.0,24.0,29.14798206278027,9.0
7.0,28.0,28.84902840059791,9.0
7.0,30.0,28.699551569506728,9.0
7.0,2.0,28.699551569506728,9.0
7.0,33.0,28.550074738415542,9.0
7.0,68.0,28.550074738415542,9.0
7.0,27.0,28.251121076233183,3.0
7.0,27.0,28.251121076233183,5.0
7.0,27.0,28.251121076233183,6.0
7.0,27.0,28.251121076233183,7.0
7.0,27.0,28.251121076233183,8.0
7.0,27.0,28.251121076233183,14.0
7.0,27.0,28.251121076233183,15.0
7.0,27.0,28.251121076233183,16.0
7.0,16.0,27.802690582959645,9.0
9.0,57.0,88.34080717488789,3.0
9.0,62.0,72.34678624813155,3.0
9.0,27.0,48.729446935724965,3.0
9.0,27.0,48.729446935724965,5.0
9.0,27.0,48.729446935724965,6.0
9.0,27.0,48.729446935724965,7.0
9.0,27.0,48.729446935724965,8.0
9.0,27.0,48.729446935724965,14.0
9.0,27.0,48.729446935724965,15.0
9.0,27.0,48.729446935724965,16.0
9.0,22.0,48.13153961136024,8.0
9.0,33.0,47.6831091180867,9.0
9.0,16.0,47.53363228699551,9.0
9.0,2.0,47.384155455904335,9.0
9.0,24.0,47.08520179372198,9.0
9.0,64.0,46.93572496263079,9.0
9.0,68.0,46.93572496263079,9.0
12.0,3.0,51.569506726457405,7.0
12.0,71.0,43.946188340807176,2.0
12.0,24.0,43.796711509716,9.0
12.0,64.0,43.64723467862481,9.0
12.0,62.0,43.04932735426009,3.0
12.0,68.0,43.04932735426009,9.0
12.0,9.0,42.89985052316891,3.0
12.0,57.0,42.600896860986545,3.0
12.0,16.0,42.30194319880419,9.0
12.0,33.0,42.30194319880419,9.0
15.0,42.0,96.71150971599404,3.0
15.0,76.0,56.65171898355755,9.0
15.0,62.0,44.843049327354265,3.0
15.0,24.0,44.39461883408072,9.0
15.0,64.0,43.19880418535127,9.0
15.0,9.0,42.89985052316891,3.0
15.0,57.0,42.89985052316891,3.0
15.0,30.0,42.600896860986545,9.0
15.0,2.0,42.15246636771301,9.0
15.0,28.0,42.00298953662182,9.0
16.0,30.0,85.79970104633782,9.0
16.0,2.0,85.35127055306427,9.0
16.0,68.0,84.00597907324364,9.0
16.0,64.0,82.95964125560538,9.0
16.0,24.0,79.82062780269058,9.0
16.0,33.0,69.80568011958147,9.0
16.0,28.0,64.42451420029896,9.0
16.0,27.0,50.224215246636774,3.0
16.0,27.0,50.224215246636774,5.0
16.0,27.0,50.224215246636774,6.0
16.0,27.0,50.224215246636774,7.0
16.0,27.0,50.224215246636774,8.0
16.0,27.0,50.224215246636774,14.0
16.0,27.0,50.224215246636774,15.0
16.0,27.0,50.224215246636774,16.0
16.0,22.0,48.729446935724965,8.0
16.0,62.0,47.83258594917787,3.0
18.0,58.0,94.02092675635276,3.0
18.0,44.0,86.39760837070254,3.0
18.0,49.0,74.14050822122572,3.0
18.0,38.0,73.99103139013454,3.0
18.0,21.0,73.24364723467862,3.0
18.0,39.0,72.6457399103139,3.0
18.0,25.0,71.74887892376681,3.0
18.0,52.0,68.60986547085201,3.0
18.0,37.0,63.97608370702541,3.0
18.0,47.0,63.67713004484305,3.0
21.0,18.0,73.24364723467862,3.0
21.0,38.0,72.94469357249626,3.0
21.0,58.0,72.04783258594918,3.0
21.0,49.0,69.95515695067265,3.0
21.0,39.0,69.80568011958147,3.0
21.0,25.0,67.41405082212258,3.0
21.0,44.0,65.91928251121077,3.0
21.0,52.0,65.91928251121077,3.0
21.0,37.0,61.88340807174888,3.0
21.0,73.0,61.58445440956651,3.0
22.0,27.0,70.4035874439462,3.0
22.0,27.0,70.4035874439462,5.0
22.0,27.0,70.4035874439462,6.0
22.0,27.0,70.4035874439462,7.0
22.0,27.0,70.4035874439462,8.0
22.0,27.0,70.4035874439462,14.0
22.0,27.0,70.4035874439462,15.0
22.0,27.0,70.4035874439462,16.0
22.0,64.0,50.37369207772795,9.0
22.0,24.0,49.92526158445441,9.0
22.0,33.0,49.775784753363226,9.0
22.0,30.0,49.62630792227205,9.0
22.0,2.0,49.62630792227205,9.0
22.0,68.0,49.47683109118087,9.0
22.0,16.0,48.729446935724965,9.0
22.0,9.0,48.13153961136024,3.0
22.0,28.0,47.53363228699551,9.0
24.0,64.0,85.05231689088191,9.0
24.0,30.0,80.86696562032884,9.0
24.0,2.0,80.11958146487295,9.0
24.0,16.0,79.82062780269058,9.0
24.0,68.0,79.82062780269058,9.0
24.0,33.0,68.31091180866966,9.0
24.0,28.0,65.32137518684604,9.0
24.0,27.0,50.97159940209267,3.0
24.0,27.0,50.97159940209267,5.0
24.0,27.0,50.97159940209267,6.0
24.0,27.0,50.97159940209267,7.0
24.0,27.0,50.97159940209267,8.0
24.0,27.0,50.97159940209267,14.0
24.0,27.0,50.97159940209267,15.0
24.0,27.0,50.97159940209267,16.0
24.0,22.0,49.92526158445441,8.0
24.0,9.0,47.08520179372198,3.0
25.0,18.0,71.74887892376681,3.0
25.0,58.0,71.44992526158445,3.0
25.0,38.0,71.44992526158445,3.0
25.0,49.0,70.10463378176382,3.0
25.0,39.0,69.05829596412556,3.0
25.0,21.0,67.41405082212258,3.0
25.0,52.0,66.66666666666666,3.0
25.0,44.0,64.42451420029896,3.0
25.0,47.0,63.97608370702541,3.0
25.0,73.0,62.92974588938714,3.0
27.0,22.0,70.4035874439462,8.0
27.0,24.0,50.97159940209267,9.0
27.0,64.0,50.82212257100149,9.0
27.0,2.0,50.672645739910315,9.0
27.0,16.0,50.224215246636774,9.0
