Enzyme1,Enzyme2,Percent_Similarity,E2_Sub,Neighbor_Substrate,Substrate_Distance,hit,Normalized_Distance,MSA_Score
2.0,30.0,95.81464872944694,9.0,16.0,5.406777766390262,0.0,0.6325095459087089,0.6338927686852353
2.0,30.0,95.81464872944694,9.0,14.0,5.429148081623564,0.0,0.6351265275087308,0.6365040632007706
2.0,30.0,95.81464872944694,9.0,17.0,5.578365070853041,0.0,0.6525826121079712,0.6539233763610648
2.0,30.0,95.81464872944694,9.0,6.0,5.832013957395133,0.0,0.6822556168029839,0.6835381797566337
2.0,30.0,95.81464872944694,9.0,7.0,6.0223749832025,0.0,0.704524918630146,0.7057670136076111
2.0,30.0,95.81464872944694,9.0,15.0,6.039162766556912,0.0,0.7064888301658335,0.7077274783946713
2.0,30.0,95.81464872944694,9.0,4.0,6.049689715560571,0.0,0.70772032071747,0.7089568173607125
2.0,30.0,95.81464872944694,9.0,12.0,6.368769312558977,0.0,0.7450477086232131,0.7462223560377244
2.0,30.0,95.81464872944694,9.0,8.0,7.148131257572746,0.0,0.8362210268615727,0.8372677721560857
2.0,68.0,94.02092675635276,9.0,16.0,5.406777766390262,0.0,0.6325095459087089,0.6353292511374956
2.0,68.0,94.02092675635276,9.0,14.0,5.429148081623564,0.0,0.6351265275087308,0.6379346656442088
2.0,68.0,94.02092675635276,9.0,17.0,5.578365070853041,0.0,0.6525826121079712,0.6553159522787101
2.0,68.0,94.02092675635276,9.0,6.0,5.832013957395133,0.0,0.6822556168029839,0.6848705413028873
2.0,68.0,94.02092675635276,9.0,7.0,6.0223749832025,0.0,0.704524918630146,0.707057488932904
2.0,68.0,94.02092675635276,9.0,15.0,6.039162766556912,0.0,0.7064888301658335,0.7090143854918445
2.0,68.0,94.02092675635276,9.0,4.0,6.049689715560571,0.0,0.70772032071747,0.7102414969865732
2.0,68.0,94.02092675635276,9.0,12.0,6.368769312558977,0.0,0.7450477086232131,0.7474429876652735
2.0,68.0,94.02092675635276,9.0,8.0,7.148131257572746,0.0,0.8362210268615727,0.8383558537105309
2.0,16.0,85.35127055306427,9.0,16.0,5.406777766390262,0.0,0.6325095459087089,0.6492509939203739
2.0,16.0,85.35127055306427,9.0,14.0,5.429148081623564,0.0,0.6351265275087308,0.6518007620325791
2.0,16.0,85.35127055306427,9.0,17.0,5.578365070853041,0.0,0.6525826121079712,0.6688217947006624
2.0,16.0,85.35127055306427,9.0,6.0,5.832013957395133,0.0,0.6822556168029839,0.6978045959293849
2.0,16.0,85.35127055306427,9.0,7.0,6.0223749832025,0.0,0.704524918630146,0.7195928629522155
